id_street;street;id_key_access
1059;Каргопольская;1131
1060;Больничный переулок;1132
1061;Введенского;1133
1062;Стрельбищенский переулок;1134
1063;Электрический переулок;1135
1064;Барышиха;1138
1065;Большой Дровяной переулок;1142
1066;Малый Дровяной;1143
1067;1-й Монетчиковский переулок;1146
1068;Лучников переулок;1147
1069;Малая Тульская;1149
1070;Флотская;1150
1071;Годовикова;1151
1072;Черноморский бульвар;1152
1073;проспект Одоевского;1153
1074;Академика Волгина;1154
1075;Щипок;1155
1076;Талалихина;1156
1077;Сетуньский проезд;1159
1078;Нижний Кисельный переулок;1161
1079;Ромашково;1163
1080;Касаткина;1164
1081;Внуково;1165
1082;Варварка;1167
1083;5-й Подбельского проезд;1169
1084;Басманный тупик;1170
1085;Глазовский переулок;1171
1086;Серебрянный переулок;1172
1087;1-й Ростовский переулок;1174
1088;Урожай;1175
1089;пос. Надежда;1176
